UCUM_symbol,NC_symbol,SI_symbol,label_en,label_fr,definition_en,comment_en,SI_category,Notes
A,A,A,ampere,ampère,"An SI base unit which 1) is the SI unit of electric current and 2) is defined by taking the fixed numerical value of the elementary charge, e, to be 1.602 176 634 × 10⁻¹⁹ when expressed in the unit coulomb, which is equal to an ampere second, where the second is defined in terms of ∆νCs.",,Base unit,
cd,cd,cd,candela,candela,"An SI base unit which 1) is the SI unit of of luminous intensity in a given direction and 2) is defined by taking the fixed numerical value of the luminous efficacy of monochromatic radiation of frequency 540 × 10¹² Hz, Kcd, to be 683 when expressed in the unit lumen per watt, which is equal to candela steradian per watt, or candela cubic second steradian per kilogram square metre, where the kilogram, metre and second are defined in terms of h, c and ∆νCs.",,Base unit,
K,K,K,kelvin,kelvin,"An SI base unit which 1) is the SI unit of thermodynamic temperature and 2) is defined by taking the fixed numerical value of the Boltzmann constant, k, to be 1.380 649 × 10⁻²³ when expressed in the unit joule per kelvin, which is equal to kilogram square metre per kelvin square second, where the kilogram, metre and second are defined in terms of h, c and ∆νCs.",,Base unit,
mol,mol,mol,mole,mole,"An SI base unit which 1) is the SI unit of amount of substance and 2) is defined such that one mole contains exactly 6.022 140 76 × 10²³ elementary entities. This number is the fixed numerical value of the Avogadro constant, NA, when expressed in the unit reciprocal mol and is called the Avogadro number. The amount of substance, symbol n, of a system is a measure of the number of specified elementary entities. An elementary entity may be an atom, a molecule, an ion, an electron, any other particle or specified group of particles.",,Base unit,
m,m,m,metre,mètre,"An SI base unit which 1) is the SI unit of length and 2) is defined by taking the fixed numerical value of the speed of light in vacuum, c, to be 299 792 458 when expressed in the unit metre per second, where the second is defined in terms of the caesium frequency ∆νCs.",,Base unit,
s,s,s,second,seconde,"An SI base unit which 1) is the SI unit of time and 2) is defined by taking the fixed numerical value of the caesium frequency, ∆νCs, the unperturbed ground-state hyperfine transition frequency of the caesium 133 atom, to be 9 192 631 770 when expressed in the unit hertz, which is equal to a reciprocal second.",,Base unit,
g,g,g,gram,gramme,An SI unit which is equal to 10⁻³ kilogram.,,Base unit*,mentions kg not g
Bq,Bq,Bq,becquerel,becquerel,A special named SI unit which 1) is a unit of activity referred to a radionuclide and 2) is equal to a reciprocal second.,,Special named,
C,C,C,coulomb,coulomb,A special named SI unit which 1) is a unit of electric charge and 2) is equal to an ampere second.,,Special named,
Cel,Cel,°C,degree Celsius,degré Celsius,A special named SI unit which 1) is a unit of temperature and 2) is equal to a one kelvin.,"Special care must be taken when expressing temperatures or temperature differences, respectively. A temperature difference of 1 K equals that of 1ᵒC, but for an absolute temperature the difference of 273.15 K must be taken into account. The unit degree Celsius is only coherent when expressing temperature differences.",Special named,
F,F,F,farad,farad,A special named SI unit which 1) is a unit of capacitance and 2) is equal to a square ampere quartic second per kilogram square metre.,,Special named,
